index,feature,specificity
260,RBM10_mut,cell_line_mutation
261,RBM5_mut,cell_line_mutation
262,RGS3_mut,cell_line_mutation
263,RHOA_mut,cell_line_mutation
264,RHOT1_mut,cell_line_mutation
265,RNF43_mut,cell_line_mutation
266,ROBO2_mut,cell_line_mutation
267,RPGR_mut,cell_line_mutation
268,RPL5_mut,cell_line_mutation
269,RTN4_mut,cell_line_mutation
272,SACS_mut,cell_line_mutation
273,SCAI_mut,cell_line_mutation
274,SEC31A_mut,cell_line_mutation
275,SETD2_mut,cell_line_mutation
276,SETDB1_mut,cell_line_mutation
277,SF3B1_mut,cell_line_mutation
278,SIN3A_mut,cell_line_mutation
279,SMAD2_mut,cell_line_mutation
280,SMAD4_mut,cell_line_mutation
281,SMARCA1_mut,cell_line_mutation
282,SMARCA4_mut,cell_line_mutation
283,SMARCB1_mut,cell_line_mutation
284,SMC1A_mut,cell_line_mutation
285,SOS1_mut,cell_line_mutation
286,SOS2_mut,cell_line_mutation
287,SOX9_mut,cell_line_mutation
288,SPOP_mut,cell_line_mutation
289,SPTAN1_mut,cell_line_mutation
290,SRGAP1_mut,cell_line_mutation
291,SRGAP3_mut,cell_line_mutation
292,STAG1_mut,cell_line_mutation
293,STAG2_mut,cell_line_mutation
294,STIP1_mut,cell_line_mutation
295,STK11_mut,cell_line_mutation
296,STK4_mut,cell_line_mutation
297,SVEP1_mut,cell_line_mutation
298,TAF1_mut,cell_line_mutation
299,TAOK1_mut,cell_line_mutation
301,TBX3_mut,cell_line_mutation
302,TCF12_mut,cell_line_mutation
305,TCF7L2_mut,cell_line_mutation
306,TET2_mut,cell_line_mutation
308,THRAP3_mut,cell_line_mutation
309,TJP1_mut,cell_line_mutation
310,TJP2_mut,cell_line_mutation
312,TNPO1_mut,cell_line_mutation
313,TP53_mut,cell_line_mutation
314,TP53BP1_mut,cell_line_mutation
315,TRIO_mut,cell_line_mutation
316,TSC1_mut,cell_line_mutation
317,U2AF1_mut,cell_line_mutation
318,UPF3B_mut,cell_line_mutation
319,USP6_mut,cell_line_mutation
321,WHSC1_mut,cell_line_mutation
322,WHSC1L1_mut,cell_line_mutation
323,WNK1_mut,cell_line_mutation
324,WT1_mut,cell_line_mutation
325,XPO1_mut,cell_line_mutation
326,XRN1_mut,cell_line_mutation
327,ZC3H11A_mut,cell_line_mutation
328,ZFHX3_mut,cell_line_mutation
329,ZFP36L1_mut,cell_line_mutation
330,ZFP36L2_mut,cell_line_mutation
331,ZMYM2_mut,cell_line_mutation
332,ZNF292_mut,cell_line_mutation
333,ZNF638_mut,cell_line_mutation
334,ZNRF3_mut,cell_line_mutation
335,gain:cnaPANCAN1 (CCNE1),cell_line_cna
336,loss:cnaPANCAN2 (STK11),cell_line_cna
337,loss:cnaPANCAN3 (GNA11),cell_line_cna
338,loss:cnaPANCAN4,cell_line_cna
339,loss:cnaPANCAN5,cell_line_cna
340,loss:cnaPANCAN6,cell_line_cna
341,loss:cnaPANCAN7 (SMARCA4),cell_line_cna
342,loss:cnaPANCAN8,cell_line_cna
343,loss:cnaPANCAN9,cell_line_cna
344,loss:cnaPANCAN10 (CIC),cell_line_cna
345,loss:cnaPANCAN11,cell_line_cna
346,loss:cnaPANCAN12,cell_line_cna
347,loss:cnaPANCAN13,cell_line_cna
348,loss:cnaPANCAN14,cell_line_cna
349,loss:cnaPANCAN15,cell_line_cna
350,loss:cnaPANCAN16,cell_line_cna
351,loss:cnaPANCAN17,cell_line_cna
352,gain:cnaPANCAN18,cell_line_cna
353,gain:cnaPANCAN19,cell_line_cna
354,loss:cnaPANCAN20,cell_line_cna
355,loss:cnaPANCAN21,cell_line_cna
356,loss:cnaPANCAN22,cell_line_cna
357,loss:cnaPANCAN23 (SMAD4),cell_line_cna
358,loss:cnaPANCAN24,cell_line_cna
359,loss:cnaPANCAN25,cell_line_cna
360,loss:cnaPANCAN26,cell_line_cna
361,"gain:cnaPANCAN27 (GATA3,KLF6,LARP4B,VIM)",cell_line_cna
362,"gain:cnaPANCAN28 (CUL2,EPC1)",cell_line_cna
363,gain:cnaPANCAN29 (KAT6B),cell_line_cna
364,loss:cnaPANCAN30 (LARP4B),cell_line_cna
365,loss:cnaPANCAN31,cell_line_cna
366,loss:cnaPANCAN32,cell_line_cna
367,loss:cnaPANCAN33,cell_line_cna
368,loss:cnaPANCAN34,cell_line_cna
369,loss:cnaPANCAN35 (CUL2),cell_line_cna
370,loss:cnaPANCAN36 (RET),cell_line_cna
371,loss:cnaPANCAN37,cell_line_cna
372,loss:cnaPANCAN38,cell_line_cna
373,loss:cnaPANCAN39,cell_line_cna
374,loss:cnaPANCAN40,cell_line_cna
375,loss:cnaPANCAN41,cell_line_cna
376,loss:cnaPANCAN42 (ANK3),cell_line_cna
377,loss:cnaPANCAN43,cell_line_cna
378,"loss:cnaPANCAN44 (BMPR1A,FAS,PTEN)",cell_line_cna
379,loss:cnaPANCAN45,cell_line_cna
380,loss:cnaPANCAN46,cell_line_cna
381,loss:cnaPANCAN47,cell_line_cna
382,loss:cnaPANCAN48,cell_line_cna
383,loss:cnaPANCAN49,cell_line_cna
384,loss:cnaPANCAN50,cell_line_cna
385,loss:cnaPANCAN51,cell_line_cna
386,loss:cnaPANCAN52,cell_line_cna
387,loss:cnaPANCAN53,cell_line_cna
388,loss:cnaPANCAN54,cell_line_cna
389,loss:cnaPANCAN55,cell_line_cna
390,gain:cnaPANCAN56,cell_line_cna
391,gain:cnaPANCAN57 (CAT),cell_line_cna
392,gain:cnaPANCAN58,cell_line_cna
393,"gain:cnaPANCAN59 (CCND1,CTTN)",cell_line_cna
394,gain:cnaPANCAN60,cell_line_cna
395,gain:cnaPANCAN61,cell_line_cna
396,"loss:cnaPANCAN62 (HRAS,IRF7)",cell_line_cna
397,loss:cnaPANCAN63,cell_line_cna
398,loss:cnaPANCAN64,cell_line_cna
399,loss:cnaPANCAN65,cell_line_cna
400,loss:cnaPANCAN66,cell_line_cna
401,loss:cnaPANCAN67,cell_line_cna
402,loss:cnaPANCAN68,cell_line_cna
403,loss:cnaPANCAN69,cell_line_cna
404,loss:cnaPANCAN70,cell_line_cna
405,loss:cnaPANCAN71 (EXT2),cell_line_cna
406,loss:cnaPANCAN72,cell_line_cna
407,loss:cnaPANCAN73,cell_line_cna
408,loss:cnaPANCAN74,cell_line_cna
409,loss:cnaPANCAN75 (MED17),cell_line_cna
410,loss:cnaPANCAN76,cell_line_cna
411,loss:cnaPANCAN77 (CASP1),cell_line_cna
412,loss:cnaPANCAN78 (CASP1),cell_line_cna
413,loss:cnaPANCAN79,cell_line_cna
414,loss:cnaPANCAN80 (SDHD),cell_line_cna
415,loss:cnaPANCAN81,cell_line_cna
416,loss:cnaPANCAN82,cell_line_cna
417,gain:cnaPANCAN83,cell_line_cna
418,"gain:cnaPANCAN84 (FGFR1,WHSC1L1)",cell_line_cna
419,gain:cnaPANCAN85 (SOX17),cell_line_cna
420,gain:cnaPANCAN86,cell_line_cna
421,gain:cnaPANCAN87,cell_line_cna
422,"gain:cnaPANCAN88 (PABPC1,UBR5)",cell_line_cna
423,gain:cnaPANCAN89 (RAD21),cell_line_cna
424,gain:cnaPANCAN90,cell_line_cna
425,gain:cnaPANCAN91 (MYC),cell_line_cna
426,loss:cnaPANCAN92,cell_line_cna
427,loss:cnaPANCAN93,cell_line_cna
428,loss:cnaPANCAN94,cell_line_cna
429,loss:cnaPANCAN95,cell_line_cna
430,loss:cnaPANCAN96,cell_line_cna
431,loss:cnaPANCAN97,cell_line_cna
432,loss:cnaPANCAN98,cell_line_cna
433,loss:cnaPANCAN99 (SOX17),cell_line_cna
434,loss:cnaPANCAN100,cell_line_cna
435,loss:cnaPANCAN101,cell_line_cna
436,loss:cnaPANCAN102,cell_line_cna
437,loss:cnaPANCAN103,cell_line_cna
438,loss:cnaPANCAN104,cell_line_cna
440,gain:cnaPANCAN106,cell_line_cna
441,"gain:cnaPANCAN107 (FUS,TAOK2)",cell_line_cna
442,"gain:cnaPANCAN108 (CHD9,CYLD)",cell_line_cna
443,gain:cnaPANCAN109 (MMP2),cell_line_cna
444,loss:cnaPANCAN110,cell_line_cna
445,loss:cnaPANCAN111,cell_line_cna
446,loss:cnaPANCAN112 (CREBBP),cell_line_cna
447,loss:cnaPANCAN113,cell_line_cna
448,loss:cnaPANCAN114 (CIITA),cell_line_cna
449,loss:cnaPANCAN115,cell_line_cna
450,loss:cnaPANCAN116,cell_line_cna
451,"loss:cnaPANCAN117 (CHD9,CNOT1,CYLD,MMP2,NUP93)",cell_line_cna
452,loss:cnaPANCAN118 (ZFHX3),cell_line_cna
453,loss:cnaPANCAN119,cell_line_cna
454,loss:cnaPANCAN120,cell_line_cna
455,"gain:cnaPANCAN121 (ACTB,CARD11,PMS2,RAC1)",cell_line_cna
456,"gain:cnaPANCAN122 (AHR,HDAC9)",cell_line_cna
457,gain:cnaPANCAN123,cell_line_cna
458,gain:cnaPANCAN124 (EGFR),cell_line_cna
459,gain:cnaPANCAN125,cell_line_cna
460,gain:cnaPANCAN126,cell_line_cna
461,gain:cnaPANCAN127 (AKAP9),cell_line_cna
462,gain:cnaPANCAN128,cell_line_cna
463,gain:cnaPANCAN129 (MET),cell_line_cna
464,gain:cnaPANCAN130 (RHEB),cell_line_cna
465,loss:cnaPANCAN131,cell_line_cna
466,loss:cnaPANCAN132,cell_line_cna
467,loss:cnaPANCAN133,cell_line_cna
468,loss:cnaPANCAN134,cell_line_cna
469,loss:cnaPANCAN135,cell_line_cna
470,loss:cnaPANCAN136,cell_line_cna
471,loss:cnaPANCAN137 (POT1),cell_line_cna
472,loss:cnaPANCAN138,cell_line_cna
473,gain:cnaPANCAN139,cell_line_cna
474,gain:cnaPANCAN140 (FANCG),cell_line_cna
475,"gain:cnaPANCAN141 (GNAQ,NTRK2,PCSK5,TJP2)",cell_line_cna
476,gain:cnaPANCAN142,cell_line_cna
477,gain:cnaPANCAN143 (NOTCH1),cell_line_cna
478,"loss:cnaPANCAN144 (BNC2,CDKN2A,JAK2,PSIP1)",cell_line_cna
479,"loss:cnaPANCAN145 (FANCG,PAX5)",cell_line_cna
480,"loss:cnaPANCAN146 (GNAQ,NTRK2,PCSK5,TJP2)",cell_line_cna
481,loss:cnaPANCAN147,cell_line_cna
482,loss:cnaPANCAN148,cell_line_cna
483,loss:cnaPANCAN149,cell_line_cna
484,loss:cnaPANCAN150 (PTGS1),cell_line_cna
485,loss:cnaPANCAN151,cell_line_cna
486,loss:cnaPANCAN152,cell_line_cna
487,loss:cnaPANCAN153 (ABL1),cell_line_cna
488,loss:cnaPANCAN154,cell_line_cna
489,loss:cnaPANCAN155,cell_line_cna
490,loss:cnaPANCAN156,cell_line_cna
491,loss:cnaPANCAN157,cell_line_cna
492,loss:cnaPANCAN158,cell_line_cna
493,loss:cnaPANCAN159,cell_line_cna
494,loss:cnaPANCAN160,cell_line_cna
495,loss:cnaPANCAN161 (NOTCH1),cell_line_cna
496,loss:cnaPANCAN162,cell_line_cna
497,"gain:cnaPANCAN163 (CHD4,WNK1)",cell_line_cna
498,gain:cnaPANCAN164 (KRAS),cell_line_cna
499,gain:cnaPANCAN165 (CDK4),cell_line_cna
500,"gain:cnaPANCAN166 (MDM2,NUP107,SRGAP1)",cell_line_cna
501,loss:cnaPANCAN167,cell_line_cna
502,loss:cnaPANCAN168,cell_line_cna
503,loss:cnaPANCAN169,cell_line_cna
504,loss:cnaPANCAN170,cell_line_cna
505,loss:cnaPANCAN171,cell_line_cna
506,loss:cnaPANCAN172,cell_line_cna
507,loss:cnaPANCAN173,cell_line_cna
508,loss:cnaPANCAN174,cell_line_cna
509,loss:cnaPANCAN175,cell_line_cna
510,"gain:cnaPANCAN176 (CCT5,TERT,TRIO)",cell_line_cna
511,gain:cnaPANCAN177 (IL7R),cell_line_cna
512,gain:cnaPANCAN178,cell_line_cna
513,loss:cnaPANCAN179,cell_line_cna
514,loss:cnaPANCAN180,cell_line_cna
515,loss:cnaPANCAN181,cell_line_cna
516,loss:cnaPANCAN182,cell_line_cna
517,loss:cnaPANCAN183,cell_line_cna
518,loss:cnaPANCAN184 (APC),cell_line_cna
519,loss:cnaPANCAN185,cell_line_cna
520,loss:cnaPANCAN186,cell_line_cna
521,loss:cnaPANCAN187,cell_line_cna
522,loss:cnaPANCAN188,cell_line_cna
523,loss:cnaPANCAN189,cell_line_cna
524,"gain:cnaPANCAN190 (FGFR3,WHSC1)",cell_line_cna
525,"gain:cnaPANCAN191 (FIP1L1,PDGFRA)",cell_line_cna
526,"gain:cnaPANCAN192 (FIP1L1,PDGFRA)",cell_line_cna
527,loss:cnaPANCAN193,cell_line_cna
528,loss:cnaPANCAN194 (FGFR3),cell_line_cna
529,loss:cnaPANCAN195,cell_line_cna
530,loss:cnaPANCAN196,cell_line_cna
531,loss:cnaPANCAN197,cell_line_cna
532,loss:cnaPANCAN198,cell_line_cna
533,loss:cnaPANCAN199,cell_line_cna
534,loss:cnaPANCAN200,cell_line_cna
535,loss:cnaPANCAN201,cell_line_cna
536,loss:cnaPANCAN202,cell_line_cna
537,loss:cnaPANCAN203,cell_line_cna
538,loss:cnaPANCAN204,cell_line_cna
539,loss:cnaPANCAN205,cell_line_cna
540,loss:cnaPANCAN206,cell_line_cna
541,loss:cnaPANCAN207,cell_line_cna
542,loss:cnaPANCAN208 (PCDH18),cell_line_cna
543,loss:cnaPANCAN209,cell_line_cna
544,"loss:cnaPANCAN210 (FAT1,IRF2)",cell_line_cna
545,gain:cnaPANCAN211,cell_line_cna
546,"gain:cnaPANCAN212 (HSP90AB1,TRERF1)",cell_line_cna
547,gain:cnaPANCAN213 (MCM3),cell_line_cna
548,gain:cnaPANCAN214,cell_line_cna
549,loss:cnaPANCAN215,cell_line_cna
550,loss:cnaPANCAN216,cell_line_cna
551,loss:cnaPANCAN217,cell_line_cna
552,loss:cnaPANCAN218,cell_line_cna
553,loss:cnaPANCAN219,cell_line_cna
554,loss:cnaPANCAN220 (HIST1H3B),cell_line_cna
555,loss:cnaPANCAN221,cell_line_cna
556,loss:cnaPANCAN222,cell_line_cna
557,loss:cnaPANCAN223,cell_line_cna
558,loss:cnaPANCAN224,cell_line_cna
559,loss:cnaPANCAN225,cell_line_cna
560,loss:cnaPANCAN226,cell_line_cna
561,loss:cnaPANCAN227,cell_line_cna
562,loss:cnaPANCAN228,cell_line_cna
563,loss:cnaPANCAN229,cell_line_cna
564,"loss:cnaPANCAN230 (SYNCRIP,ZNF292)",cell_line_cna
565,loss:cnaPANCAN231,cell_line_cna
566,loss:cnaPANCAN232,cell_line_cna
567,loss:cnaPANCAN233,cell_line_cna
568,loss:cnaPANCAN234,cell_line_cna
569,"loss:cnaPANCAN235 (ARID1B,MAP3K4,MLLT4)",cell_line_cna
570,gain:cnaPANCAN236,cell_line_cna
573,"gain:cnaPANCAN239 (FOXP1,MITF)",cell_line_cna
574,gain:cnaPANCAN240,cell_line_cna
575,"gain:cnaPANCAN241 (NCK1,STAG1)",cell_line_cna
576,gain:cnaPANCAN242 (PIK3CB),cell_line_cna
577,gain:cnaPANCAN243,cell_line_cna
578,gain:cnaPANCAN244,cell_line_cna
579,gain:cnaPANCAN245 (MECOM),cell_line_cna
580,gain:cnaPANCAN246 (SOX2),cell_line_cna
581,gain:cnaPANCAN247,cell_line_cna
582,"gain:cnaPANCAN248 (EIF4A2,RFC4)",cell_line_cna
583,gain:cnaPANCAN249,cell_line_cna
584,loss:cnaPANCAN250 (SRGAP3),cell_line_cna
585,loss:cnaPANCAN251,cell_line_cna
586,loss:cnaPANCAN252,cell_line_cna
587,loss:cnaPANCAN253,cell_line_cna
588,loss:cnaPANCAN254,cell_line_cna
589,loss:cnaPANCAN255,cell_line_cna
590,"loss:cnaPANCAN256 (CACNA1D,WNT5A)",cell_line_cna
591,loss:cnaPANCAN257,cell_line_cna
592,loss:cnaPANCAN258,cell_line_cna
593,loss:cnaPANCAN259,cell_line_cna
594,loss:cnaPANCAN260,cell_line_cna
595,loss:cnaPANCAN261,cell_line_cna
596,loss:cnaPANCAN262 (FOXP1),cell_line_cna
597,loss:cnaPANCAN263,cell_line_cna
598,loss:cnaPANCAN264,cell_line_cna
599,loss:cnaPANCAN265,cell_line_cna
600,loss:cnaPANCAN266,cell_line_cna
601,loss:cnaPANCAN267,cell_line_cna
602,gain:cnaPANCAN268,cell_line_cna
603,gain:cnaPANCAN269 (MACF1),cell_line_cna
604,gain:cnaPANCAN270 (JUN),cell_line_cna
605,gain:cnaPANCAN271 (NOTCH2),cell_line_cna
606,"gain:cnaPANCAN272 (PIP5K1A,SETDB1)",cell_line_cna
607,gain:cnaPANCAN273,cell_line_cna
608,gain:cnaPANCAN274,cell_line_cna
609,gain:cnaPANCAN275 (SDHC),cell_line_cna
610,gain:cnaPANCAN276,cell_line_cna
611,gain:cnaPANCAN277 (DHX9),cell_line_cna
612,"gain:cnaPANCAN278 (MDM4,PIK3C2B,ZC3H11A)",cell_line_cna
613,gain:cnaPANCAN279,cell_line_cna
614,"gain:cnaPANCAN280 (ARID4B,FH)",cell_line_cna
615,loss:cnaPANCAN281 (RPL22),cell_line_cna
616,loss:cnaPANCAN282,cell_line_cna
617,loss:cnaPANCAN283,cell_line_cna
618,loss:cnaPANCAN284,cell_line_cna
619,loss:cnaPANCAN285,cell_line_cna
620,loss:cnaPANCAN286,cell_line_cna
621,loss:cnaPANCAN287,cell_line_cna
622,loss:cnaPANCAN288,cell_line_cna
623,"loss:cnaPANCAN289 (CDKN2C,FAF1)",cell_line_cna
624,loss:cnaPANCAN290,cell_line_cna
625,loss:cnaPANCAN291 (JAK1),cell_line_cna
626,loss:cnaPANCAN292,cell_line_cna
627,loss:cnaPANCAN293,cell_line_cna
628,loss:cnaPANCAN294,cell_line_cna
629,"loss:cnaPANCAN295 (ATP1A1,CSDE1,NRAS)",cell_line_cna
630,loss:cnaPANCAN296,cell_line_cna
632,loss:cnaPANCAN298,cell_line_cna
633,gain:cnaPANCAN299 (TAOK1),cell_line_cna
634,gain:cnaPANCAN300,cell_line_cna
635,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",cell_line_cna
636,"gain:cnaPANCAN302 (CLTC,PPM1D)",cell_line_cna
637,gain:cnaPANCAN303,cell_line_cna
638,loss:cnaPANCAN304,cell_line_cna
639,loss:cnaPANCAN305,cell_line_cna
640,loss:cnaPANCAN306,cell_line_cna
641,"loss:cnaPANCAN307 (CHD3,GPS2,TP53)",cell_line_cna
642,loss:cnaPANCAN308,cell_line_cna
643,loss:cnaPANCAN309,cell_line_cna
644,loss:cnaPANCAN310 (MAP2K4),cell_line_cna
645,loss:cnaPANCAN311,cell_line_cna
646,loss:cnaPANCAN312,cell_line_cna
647,loss:cnaPANCAN313,cell_line_cna
648,loss:cnaPANCAN314,cell_line_cna
649,"loss:cnaPANCAN315 (NF1,SUZ12)",cell_line_cna
